,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
,,,,,,,,
⏯,menu.playpause,,,,,,,
⏸,menu.pause,,,,,,,
⏹,menu.stop,,,,,,,
⏺,menu.record,,,,,,,
⏴,menu.left,,,,,,,
⏵,menu.right,,,,,,,
⏶,menu.up,,,,,,,
⏷,menu.down,,,,,,,
⏩,menu.right2,,,,,,,
⏪,menu.left2,,,,,,,
⏫,menu.up2,,,,,,,
⏬,menu.down2,,,,,,,
⏏,menu.eject,,,,,,,
␣,menu.space,\mathvisiblespace,,,,,,
⏎,menu.return,\varcarriagereturn,,,,,,
⌕,menu.search,,,,,,,
⌗,menu.viewdata_square,,,,,,,
⌘,menu.cmd,,,,,,,
⌫,menu.erase_left,,,,,,,
⌦,menu.erase_right,,,,,,,
⌨,menu.keyboard,,,,,,,
⎌,menu.undo,,,,,,,
⎗,menu.sym.page_previous,,,,,,,
⎘,menu.sym.page_next,,,,,,,
⎙,menu.sym.screen_print,,,,,,,
⎙,menu.sym.screen_clear,,,,,,,
⏰,menu.clock.clock,,,,,,,
⌚,menu.clock.watch,,,,,,,
⏱,menu.clock.stopwatch,,,,,,,
⏲,menu.clock.timer,,,,,,,
⌛,menu.clock.hourglass,,,,,,,
⏳,menu.clock.hourglass2,,,,,,,
☎,office.phone_black,,,,,,,
☏,office.phone_white,,,,,,,
✆,office.phone_symbol,,,,,,,
✄,office.scissors,,,,,,,
✂,office.scissors_cut,,,,,,,
✁,office.scissors_cut_bot,,,,,,,
✃,office.scissors_cut_top,,,,,,,
⎍,electric.monostable,,,,,,,
⎎,electric.hysteresis,,,,,,,
⎏,electric.output.open_high,,,,,,,
⎐,electric.output.open_low,,,,,,,
⎑,electric.output.passive_pulldown,,,,,,,
⎒,electric.output.passive_pullup,,,,,,,
⎓,electric.dc,,,,,,,
⏦,electric.ac,\accurrent,,,,,,
⏛,electric.fuse,,,,,,,
⏚,electric.gnd,,,,,,,
