,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
⟽,sym.arrow.longdouble.left_tailbar,\Longmapsfrom,,,,|==>l,<==|,
⟾,sym.arrow.longdouble.right_tailbar,\Longmapsto,,,,|==>r,|==>,
⬳,sym.arrow.longwiggle.left,\longleftsquigarrow,,,,~~~>l,,
⟿,sym.arrow.longwiggle.right,\longrightsquigarrow,,,,~~~>r,~~~>,
,,,,,,,,
‹,sym.fence.quotation_angle_right,,,&lsaqou,,,,
›,sym.fence.quotation_angle_right,,,&rsaquo,,,,
«,sym.fence.quotation_doubleangle_right,,,&laqou,,,,
»,sym.fence.quotation_doubleangle_right,,,&raquo,,,,
〈,sym.fence.bracketpoint_left,\langle,,&lang,,,,
〉,sym.fence.bracketpoint_right,\rangle,,&rang,,,,
⦑,sym.fence.bracketpoint_dot_left,\langledot,,,,,,
⦒,sym.fence.bracketpoint_dot_right,\rangledot,,,,,,
⟪,sym.fence.bracketpoint_double_left,\lAngle,,,,,,
⟫,sym.fence.bracketpoint_double_right,\rAngle,,,,,,
⌈,sym.fence.ceiling_left,\lceil,,&lceil,,,,
⌉,sym.fence.ceiling_right,\rceil,,&rceil,,,,
⌊,sym.fence.floor_left,\lfloor,,&lfloor,,,,
⌋,sym.fence.floor_right,\rfloor,,&rfloor,,,,
⦗,sym.fence.tortoise_left,\lblkbrbrak,,,,,,
⦘,sym.fence.tortoise_right,\rblkbrbrak,,,,,,
⧼,sym.fence.bracketpoint_curved_left,\lcurvyangle,,,,,,
⧽,sym.fence.bracketpoint_curved_right,\rcurvyangle,,,,,,
¦,sym.fence.bar_broken,,,&brvbar,,,,
┆,sym.fence.bar_broken_tripple,\bdtriplevdash,,,,,,
⌇,sym.fence.line_wavy,,,,,,,
⦙,sym.fence.dotted,\fourvdots,,,,,,
⦚,sym.fence.zigzag,\vzigzag,,,,,,
⧘,sym.fence.wiggly_left,\lvzigzag,,,,,,
⧙,sym.fence.wiggly_right,\rvzigzag,,,,,,
⧚,sym.fence.wigglydouble_left,\Lvzigzag,,,,,,
⧛,sym.fence.wigglydouble_right,\Rvzigzag,,,,,,
,,,,,,,,
∀,math.set.for_all,\forall,,&forall,,,,
∃,math.set.there_exists,\exists,,&exist,,,,
∄,math.set.there_exists_not,\nexists,\not\exists,&nexist,,,,
∅,math.set.empty,\varnothing,,&varnothing,,,,
∖,math.set.minus,\setminus,,&setminus,&setmn,,,
∈,math.set.element_of,\in,,&in,,,,
∉,math.set.element_of_not,\notin,\not\in,&notin,,,,
∊,math.set.element_of_small,\smallin,,,,,,
∋,math.set.contains,\ni,,&ni,,,,
∌,math.set.contains_not,\nni,\not\ni,&notni,,,,
∍,math.set.contains_small,\smallni,,,,,,
⊂,math.set.subset,\subset,,&sub,,,,
⊄,math.set.subset_not,\nsubset,\not\subset,&nsub,,,,
⊆,math.set.subset_equal,\subseteq,,&sube,,,,
⊈,math.set.subset_equal_not,\nsubseteq,\not\subseteq,,,,,
⊊,math.set.subset_not_equal,\subsetneq,\varsubsetneq,,,,,
⫅,math.set.subset_over_equal,\subseteqq,,,,,,
⫋,math.set.subset_over_not_equal,\subsetneqq,,,,,,
⋐,math.set.subset_double,\Subset,,,,,,
⊃,math.set.supset,\supset,,&sup,,,,
⊅,math.set.supset_not,\nsupset,\not\supset,&nsup,,,,
⊇,math.set.supset_equal,\supseteq,,&supe,,,,
⊉,math.set.supset_equal_not,\nsupseteq,\not\supseteq,,,,,
⊋,math.set.supset_not_equal,\supsetneq,\varsupsetneq,,,,,
⫆,math.set.supset_over_equal,\supseteqq,,,,,,
⫌,math.set.supset_over_not_equal,\supsetneqq,,,,,,
⋑,math.set.supset_double,\Supset,,,,,,
∩,math.set.intersection,\cap,,&cap,,,,
⋒,math.set.intersection_double,\Cap,,,,,,
∪,math.set.union,\cup,,&cup,,,,
⋓,math.set.union_double,\Cup,,,,,,
,,,,,,,,
¬,math.logic.neg,\neg,,&not,,neg,,
⌐,math.logic.neg_flip,\invnot,,,,,,
⌙,math.logic.neg_turn,\turnednot,,,,,,
∧,math.logic.and,\wedge,\land,&wedge,&and,and,,
⟑,math.logic.and_dot,\wedgedot,,,,,,
⋏,math.logic.and_curved,\curlywedge,,,,,,
⊼,math.logic.nand,\barwedge,,,,nand,,
⩟,,\wedgebar,,,,,,
⩞,,\doublebarwedge,,,,,,
⩠,,\wedgedoublebar,,,,,,
∨,math.logic.or,\vee,\lor,&vee,&or,or,,
⟇,math.logic.or_dot,\veedot,,,,,,
⋎,math.logic.or_curved,\curlyvee,,,,,,
⊽,math.logic.nor,\barvee,,,,nor,,
⊻,math.logic.xor,\veebar,,,,xor,,
⩢,,\doublebarvee,,,,,,
⩣,,\veedoublebar,,,,,,
,,,,,,,,
∣,math.gemometric.divides,\mid,,&mid,&smid,,,|
∤,math.gemometric.divides_not,\nmid,\not\mid,&nmid,&nsmid,,,!|
∥,math.geometric.parallel,\parallel,,&parallel,&spar,,,||
∦,math.geometric.parallel_not,\nparallel,\not\parralel,&nparallel,&nspar,,,!||
⋕,math.geometric.parallel_equal,\equalparallel,,,,,,||=
⊿,math.geometric.triangle,\varlrtriangle,,,,,,
⌀,sym.diameter,\diameter,,,,dia,o/,
∠,math.geometric.angle,\angle,,&angle,&ang,ang,,
∡,math.geometric.angle_measured,\measuredangle,,&measuredangle,&angmsd,angm,,
∢,math.geometric.angle_spherical,\sphericalangle,,,&angsph,angs,,
∟,math.geometric.angle_right,\rightangle,,&angrt,,angr,,
⊾,math.geometric.angle_rightarc,\measuredrightangle,,,,,,
⦝,math.geometric.angle_rightarc_dot,\rightanglemdot,,,,,,
⦜,math.geometric.angle_rightarc_square,\rightanglesqr,,,,,,
⟂,math.geometric.perpendicular,\perp,,&prep,,perp,,
⊤,math.geometric.top,\top,,,,,,
⊥,math.geometric.bot,\bot,,,,,,
 ,,,,,,,,
+,math.op.plus,\mathplus,,,,plus,,
∔,math.op.plus_dot,\dotplus,,&dotplus,&plusdo,plusdot,,+.
⧾,math.op.plus_tiny,\tplus,,,,tiny,,
−,math.op.minus,\minus,,&minus,,minus,,-
∸,math.op.minus_dot,\dotminus,,&dotminus,&minusd,minusdot,,-.
⧿,math.op.minus_miny,\tminus,,,,miny,,
±,math.op.plusminus,\pm,,&pm,&plusmn,pm,,+-
∓,math.op.minusplus,\mp,,&mp,&mnplus,mp,,-+
⋅,math.op.dot,\centerdot,,&sdot,,mult,,*
∙,math.op.bullet,\cdot,\vysmblkcircle,,,bullet,dot,
∗,math.op.asterisk,\ast,,,&lowast,ast,,**
⋆,math.op.star,\star,,,,star,,***
×,math.op.times,\times,,&times,,times,,x
⋋,math.op.semidirect_left,\leftthreetimes,,,,,,
⋌,math.op.semidirect_right,\rightthreetimes,,,,,,
⋉,math.op.semidirect_normal_left,\ltimes,,,,,,|x
⋊,math.op.semidirect_normal_right,\rtimes,,,,,,x|
⋈,math.op.bowtie,\bowtie,,,,bowtie,,|x|
⁄,math.op.frac,\fracslash,,&frasl,,frac,,/
∕,math.op.division_slash,\divslash,,,,slash,,//
÷,math.op.division,\div,,&divide,,div,,/:
⋇,math.op.division_times,\divideontimes,,,,,,/:x
∘,math.op.ring,\circ,\vysmwhtcircle,&SmallCircle,&compfn,ring,,o
√,math.op.root_square,\sqrt,\sqrt{2},&Sqrt,&radic,sqrt2,sqrt,
∛,math.op.root_cube,\cuberoot,\sqrt{3},,,sqrt3,,
∜,math.op.root_fourth,\fourthroot,\sqrt{4},,,sqrt4,,
,,,,,,,,
⊕,math.op.circle.plus,\oplus,,&oplus,,,(+),
⊖,math.op.circle.minus,\ominus,,,,,(-),
⊗,math.op.circle.times,\otimes,,&otimes,,,(x),
⊘,math.op.circle.division_slash,\oslash,,,,,(/),
⊙,math.op.circle.dot,\odot,,,,,(*),
⊚,math.op.circle.ring,\circledcirc,,,,,(o),
⊛,math.op.circle.asterik,\circledast,,,,,(**),
⊝,math.op.circle.dash,\circleddash,,,,,(--),
⊜,math.op.circle.equals,\circledequal,,,,,(=),
⧀,math.op.circle.less,\olessthan,,,,,(<),
⧁,math.op.circle.greater,\ogreaterthan,,,,,(>),
⦸,math.op.circle.slash_back,\obslash,,,,,(\),
⦶,math.op.circle.linev,\circledvert,,,,,(|),
⦷,math.op.circle.linev_double,\circledparallel,,,,,(||),
⦹,math.op.circle.perpendicular,\operp,,,,,(perp),
⌽,math.op.circle.linev_long,\obar,,,,,(_ud),
⦵,math.op.circle.lineh,\circlehbar,,,,,(_lr),
⊞,math.op.box.plus,\boxplus,,,,,[+],
⊟,math.op.box.minus,\boxminus,,,,,[-],
⊠,math.op.box.times,\boxtimes,,,,,[x],
⊡,math.op.box.dot,\boxdot,,,,,[*],
⧄,math.op.box.backslash,\boxdiag,,,,,[/],
⧅,math.op.box.slash,\boxbslash,,,,,[\],
⧆,math.op.box.asterik,\boxast,,,,,[**],
⧇,math.op.box.circle,\boxcircle,,,,,[o],
⧈,math.op.box.box,\boxbox,,,,,[[]],
⟤,math.op.box.tick_left,\whitesquaretickleft,,,,,-[],
⟥,math.op.box.tick_right,\whitesquaretickright,,,,,[]-,
⧉,math.op.box_on_box,\boxonbox,,,,,[][],
,,,,,,,,
∴,math.sym.therfore,\therefore,,&therefore,&Therefore,,,
∵,math.sym.because,\because,,&because,&Because,,,
∶,math.sym.ratio,\mathratio,,&ratio,,,,
∷,math.sym.proportion,\Colon,,&Colon,&Proportion,,,
∹,math.sym.excess,\dashcolon,,,,,,
∺ ,math.sym.proportion_geometric,\dotsminusdots,,&mDDot,,,,
∻,math.sym.homothetic,\kernelcontraction,,&homtht,,,,
⊹,math.sym.hermitmatrix,\hermitmatrix,,,,,,
⋔,math.sym.pitchfork,\pitchfork,,,,,,
∎,math.sym.end_of_proof,\QED,,,,qed,,
∞,math.sym.infinity,\infty,,&infin,,inf,,
⧜,math.sym.infinity_incomplete,\iinfin,,,,,,
⧝,math.sym.infinity_tie,\tieinfty,,,,,,
⧞,math.sym.infinity_neg,\nvinfty,,,,,,
϶,math.sym.epsilon_back,\backepsilon,,,,,,
ℎ,math.sym.planck,\Planckconst,,,,,,
ℏ,math.sym.planck_bar,\hbar,\hslash,,,,,
Ω,math.sym.ohm,\mupOmega,,&ohm,,ohm,Ohm,
℧,math.sym.ohm_inv,\mho,,&mho,,mho,,
Å,math.sym.angstrom,\Angstrom,,&angst,,,,
Ɛ,math.sym.euler,\Eulerconst,,,,,,
Ⅎ,math.sym.finv,\Finv,,,,,,
⅁,math.sym.game,\Game,,,,,,
⅄,math.sym.yup,\Yup,,,,,,
ℼ,math.sym.pi_double,\Bbbpi,,,,,,
⅊,math.sym.property_line,\PropertyLine,,,,,,
℃,math.sym.degree_celsius,,,,,°F,,
℉,math.sym.degree_farenheit,,,,,°C,,
ℓ,math.sym.script.letter_l,\ell,,,&ell,,,
ℊ,math.sym.script.letter_g,\mscrg,,,&gscr,,,
ℜ,math.sym.real,\Re,,&real,&Re,Re,,
ℑ,math.sym.imaginary,\Im,,&image,&Im,Im,,
ℕ,math.sym.double_N,\mathbb{N},,&naturals,&Nopf,NN,,
ℤ,math.sym.double_Z,\mathbb{Z},,&integers,&Zopf,ZZ,,
ℚ,math.sym.double_Q,\mathbb{Q},,&rationals,&Qopf,QQ,,
ℝ,math.sym.double_R,\mathbb{R},,&reals,&Ropf,RR,,
ℂ,math.sym.double_C,\mathbb{C},,&complexes,&Copf,CC,,
ℙ,math.sym.double_P,\mathbb{P},,&primes,&Popf,PP,,
ℵ,math.sym.alef,\aleph,,&alefsym,&aleph,,,
,,,,,,,,
∁,math.arith.complement,\complement,,&complement,&comp,,,
∂,math.arith.partial_differential,\partial,,&PartialD,&part,part,,
∆,math.arith.increment,\increment,,,,,,
∇,math.arith.nabla,\nabla,,&Del,&nabla,,,
∫,math.arith.integral,\int,,&int,,int1,int,
∬,math.arith.integral_double,\iint,,&iint,,int2,,
∭,math.arith.integral_tripple,\iiint,,&iiint,,int3,,
⨌,math.arith.integral_quadruple,\iiiint,,,,int4,,
∮,math.arith.integral_contour,\oint,,&oint,&conint,into1,into,
∯,math.arith.integral_surface,\oiint,,,&Conint,into2,,
∰,math.arith.integral_volume,\oiiint,,,&Ccoint,into3,,
∱,math.arith.integral_clockwise,\intclockwise,,,&cwint,,,
⨑,math.arith.integral_anticlockwise,\awint,,,,,,
∲,math.arith.integral_contour_clockwise,\varointclockwise,,,&cwconint,,,
∳,math.arith.integral_contour_anticlock,\ointctrclockwise,,,&awconint,,,
∏,math.arith.nary.product,\prod,,&Product,&prod,prod,,
∐,math.arith.nary.coproduct,\coprod,,&Coproduct,&coprod,coprod,,
∑,math.arith.nary.sum,\sum,,&Sum,&sum,sum,,
,,,,,,,,
≬,math.relation.between,\between,,,,,,()
∝,math.relation.proportional,\propto,\varpropto,&propto,&prop,prop,,
=,math.relation.equal,\equal,,,,,,
≐,math.relation.equal_approches,\doteq,,,,,,=*
≑,math.relation.equal_geometric,\doteqdot,,,,,,
≒,math.relation.equal_or_image,\fallingdotseq,,,,,,
≓,math.relation.image_or_equal,\risingdotseq,,,,,,
≔,math.relation.colon_equals,\coloneq,,,,,,:=
≕,math.relation.equals_colon,\eqcolo,,,,,,=:
≞,math.relation.equals_measured,\measeq,,,,,,=m
≝,math.relation.equals_definition,\eqdef,,,,,,=def
≟,math.relation.equals_question,\questeq,,,,,,=?
≖,math.relation.equals_circle_in,\eqcirc,,,,,,
≗,math.relation.equals_circle_over,\circeq,,,,,,=°
≘,math.relation.equal_arc,\arceq,,,,,,
≙,math.relation.equal_wedge,\wedgeq,,,,,,=^^
≚,math.relation.equal_vee,\veeeq,,,,,,=v
≛,math.relation.equal_star,\stareq,,,,,,=***
≜,math.relation.equals_triangle_over,\triangleq,,,,,,
≍,math.relation.equivalent,\asymp,,&asympeq,&CupCap,,,
≭,math.relation.equivalent_not,\nasymp,\not\asymp,,,,,
≎,math.relation.equivalent_geometric,\Bumpeq,,&bump,&Bumpeq,,,
≏,math.relation.difference_between,\bumbeq,,&bumpe,&Humpeq,,,
≠,math.relation.equal_not,\neq,\not=,&ne,,,,!=
≡,math.relation.identical,\equiv,,&equiv,,,,=_
≢,math.relation.identical_not,\nequiv,\not\equiv,,,,,!=_
≣,math.relation.strictly_equivalent,\Equiv,,,,,,=__
∼,math.relation.tilde,\sim,\thicksim,&sim,&thicksim,,,
≁,math.relation.tilde_not,\nsim,\not\sim,,,,,!~
∽,math.relation.tilde_back,\backsim,,&backsim,&bsim,,,~f
∾,math.relation.lazys_inverted,\invlazys,,&mstpos,&ac,,,
∿,math.relation.sine,\sinewave,,,&acd,sine,,
≀,math.relation.tilde_vertical,\wr,,&wreath,&wr,,,
≈,math.relation.almost_equal,\aprox,\thickapprox,&approx,&thickapprox,,,~~
≉,math.relation.almost_equal_not,\napprox,\not\aprox,&napprox,&nap,,,!~~
≋,math.relation.tripple_tilde,\approxident,,,&apid,,,~~~
≂,math.relation.equal_tilde,\eqsim,,&eqsim,&esim,,,_~
≃,math.relation.equal_asymtotical,\simeq,,&simeq,&sime,,,~_
≄,math.relation.equal_asymtotical_not,\nsimeq,\not\simeq,&nsimeq,&nsime,,,!~_
≅,math.relation.aprox_equal,\cong,,&cong,,,,~__
≌,math.relation.aprox_equal_back,\backcong,,&backcong,&bcong,,,~__f
≆,math.relation.aprox_not_equal,\simneqq,,&simne,,,,~!__
≇,math.relation.aprox_equal_not,\ncong,\not\cong,&ncong,,,,!~__
≊,math.relation.equal_or_almost_equal,\approxeq,,&approxeq,&ape,,,~~_
<,math.relation.less,\less,,,,,,
⋖,math.relation.less_dot,\lessdot,,,,,,<.
≮,math.relation.less_not,\nless,,,,,,!<
≪,math.relation.less_much,\ll,,,,,,<<
⋘,math.relation.less_very,\lll,,,,,,<<<
≤,math.relation.less_or_equal,\leq,,&le,,,,<_
≰,math.relation.less_or_equal_not,\nleq,\not\leq,,,,,!<_
≲,math.relation.less_or_equivalent,\lesssim,,,,,,<~
⋦,math.relation.less_or_not_equivalent,\lnsim,,,,,,<!~
≴,math.relation.less_or_equivalent_not,\nlesssim,\not\lesssim,,,,,!<~
≦,math.relation.less_over_equal,\leqq,,,,,,<__
≨,math.relation.less_not_equal,\lneqq,,,,,,<!__
⪅,math.relation.less_over_aprox,\lessapprox,,,,,,<~~
⪉,math.relation.less_over_not_aprox,\gnapprox,,,,,,<!~~
>,math.relation.greater,\greater,,,,,,
⋗,math.relation.greater_dot,\gtrdot,,,,,,>.
≯,math.relation.greater_not,\ngtr,,,,,,!>
≫,math.relation.greater_much,\gg,,,,,,>>
⋙,math.relation.greater_very,\ggg,,,,,,>>>
≥,math.relation.greater_or_equal,\geq,,&ge,,,,>_
≱,math.relation.greater_or_equal_not,\ngeq,,,,,,!>_
≳,math.relation.greater_or_equivalent,\gtrsim,,,,,,>~
⋧,math.relation.greater_or_not_equivalent,\gnsim,,,,,,>!~
≵,math.relation.greater_or_equivalent_not,\ngtrsim,\not\gtrsim,,,,,!>~
≧,math.relation.greater_over_equal,\geqq,,,,,,>__
≩,math.relation.greater_not_equal,\gneqq,,,,,,>!__
⪆,math.relation.greater_over_aprox,\gtrapprox,,,,,,>~~
⪊,math.relation.greater_over_not_aprox,\gnapprox,,,,,,>!~~
≶,math.relation.less_or_greater,\lessgtr,,,,,,<>
≸,math.relation.less_or_greater_not,\nlessgtr,\not\lessgtr,,,,,!<>
≷,math.relation.greater_or_less,\gtrless,,,,,,><
≹,math.relation.greater_or_less_not,\ngtrless,\not\gtrless,,,,,!><
⋚,math.relation.less_equal_or_greater,\lesseqgtr,,,,,,<_>
⋛,math.relation.greater_equal_or_less,\gtreqless,,,,,,>_<
⪋,math.relation.less_equal_greater,\lesseqqgtr,,,,,,<__>
⪌,math.relation.greater_equal_less,\gtreqqless,,,,,,>__<
≺,math.relation.precedes,\prec,,,,,,{
⊀,math.relation.precedes_not,\nprec,\not\prec,,,,,!{
≼,math.relation.precedes_or_equal,\preceq,,,,,,{_
≾,math.relation.precedes_or_equivalent,\precsim,,,,,,{~
⋨,math.relation.precedes_or_not_equivalent,\precnsim,,,,,,{!~
⪵,math.relation.precedes_not_equal,\precneqq,,,,,,{!__
⪷,math.relation.precedes_or_aprox,\precapprox,,,,,,{~~
⪹,math.relation.precedes_or_not_aprox,\precnapprox,,,,,,{!~~
≻,math.relation.succeeds,\succ,,,,,,}
⊁,math.relation.succeeds_not,\nsucc,\not\succ,,,,,!}
≽,math.relation.succeeds_or_equal,\succeq,,,,,,}_
≿,math.relation.succeeds_or_equivalent,\succsim,,,,,,}~
⋩,math.relation.succeeds_or_not_equivalent,\succnsim,,,,,,}!~
⪶,math.relation.succeeds_not_equal,\succneqq,,,,,,}!__
⪸,math.relation.succeeds_or_aprox,\succapprox,,,,,,}~~
⪺,math.relation.succeeds_or_not_aprox,\succnapprox,,,,,,}!~~
⊷,math.relation.image_of,\imageof,,,,,,
⊶,math.relation.original_of,\origof,,,,,,
⊸,math.relation.multimap_right,\multimap,,,,,,
⟜,math.relation.multimap_left,\multimapinv,,,,,,
⧟,math.relation.dual,\dualmap,,,,,,
,,,,,,,,
,WARNING: combining chars are invisible in editor!,,,,,,,
͏,comb.joiner,,,,,&cgj,,
,,,,,,,,
̇,comb.above.dot1,\dot,,,,&a.,,
̈,comb.above.dot2,\ddot,,,,&a..,,
⃛,comb.above.dot3,\dddot,,&TripleDot,&tdot,&a...,,
⃜,comb.above.dot4,\ddddot,,&DotDot,,&a....,,
͘,comb.above.dot_right,,,,,&a.r,,
̓,comb.above.comma,\ocommatoprigh,,,,"&a,",,
̕,comb.above.comma_right,,,,,"&a,r",,
̒,comb.above.comma_turn,\oturnedcomma,,,,"&a,t",,
̔,comb.above.comma_flip,,,,,"&a,f",,
,,,,,,,,
̂,comb.above.circumflex,\hat,,,,&a^^,,
̃,comb.above.tilde,\tilde,,,,&a~,,
͊,comb.above.tilde_not,,,,,&a!~,,
͌,comb.above.almost_equal,,,,,&a~~,,
͋,comb.above.homothetic,,,,,&a~:,,
̾,comb.above.tilde_vert,,,,,&a~',,
̄,comb.above.macron,\bar,,,,&a-,,
̅,comb.above.lineh,,,,,&a_,,
̿,comb.avobe.lineh_double,,,,,&a__,,
̍,comb.above.linev,,,,,&a',,
̎,comb.above.linev_double,,,,,&a'',,
́,comb.above.acute,\acute,,,,&a´´,,
᷁,comb.above.acute_dotted,,,,,&a´´:,,
́,comb.above.acute_tone,,,,,&a´´t,,
̋,comb.above.acute_double,,,,,&a´´´´,,
᷉,comb.above.acute-grave_acute,,,,,&a´´``´´,,
᷇,comb.above.acute_macron,,,,,&a´´-,,
᷄,comb.above.macron_acute,,,,,&a-´´,,
̀,comb.above.grave,\grave,,,,&a``,,
᷀,comb.above.grave_dotted,,,,,&a``:,,
̀,comb.above.grave_tone,,,,,&a``t,,
̏,comb.above.grave_double,,,,,&a````,,
᷈,comb.above.grave_acute_grave,,,,,&a``´´``,,
᷅,comb.above.grave_macron,,,,,&a``-,,
᷆,comb.above.macron_grave,,,,,&a-``,,
̆,comb.above.breve,\breve,,,,&au,,
̐,comb.above.candrabindu,\candra,,,,&au.,,
̑,comb.above.breve_inv,,,,,&an,,
͒,comb.above.fermata,,,,,&an.,,
̌,comb.above.caron,\check,,,,&av,,
̊,comb.above.ring,\mathring,,,,&a°,,
͑,comb.above.ringhalf_left,,,,,&a°l,,
͗,comb.above.ringhalf_right,,,,,&a°r,,
̉,comb.above.hook,\ovhook,,,,&a?,,
̛,comb.above.horn,,,,,,,
᷃,comb.above.suspension,,,,,,,
͛,comb.above.zigzag,,,,,&az,,
̽,comb.above.times,,,,,&ax,,
ͣ,comb.above.letter_a,,,,,&a-a,,
ͤ,comb.above.letter_e,,,,,&a-e,,
ͥ,comb.above.letter_i,,,,,&a-i,,
ͦ,comb.above.letter_o,,,,,&a-o,,
ͧ,comb.above.letter_u,,,,,&a-u,,
ͨ,comb.above.letter_c,,,,,&a-c,,
ͩ,comb.above.letter_d,,,,,&a-d,,
ͪ,comb.above.letter_h,,,,,&a-h,,
ͫ,comb.above.letter_m,,,,,&a-m,,
ͬ,comb.above.letter_r,,,,,&a-r,,
ͭ,comb.above.letter_t,,,,,&a-t,,
ͮ,comb.above.letter_v,,,,,&v-t,,
ͯ,comb.above.letter_x,,,,,&a-x,,
,,,,,,,,
⃖,comb.above.arrow_left,,,,,&a<-,,
⃗,comb.above.arrow_right,\vec,,,,&a->,,
⃡,comb.above.arrow_leftright,,,,,&a<->,,
᷾,comb.above.arrowhead_left,,,,,&a<,,
͐,comb.above.arrowhead_right,,,,,&a>,,
⃐,comb.above.harpoon_left,\leftharpoonaccent,,,,,,
⃑,comb.above.harpoon_right,\rightharpoonaccent,,,,,,
⃔,comb.above.arrow_anticlockwise,,,,,,,
⃕,comb.above.arrow_clockwise,,,,,,,
͆,comb.above.bridge,,,,,,,
⃩,comb.above.bridge_wide,\widebridgeabove,,,,,,
⃰,comb.above.asteriks,\asteraccent,,,,&a*,,
̚,comb.above.angle_left,\droang,,,,,,
⃧,comb.above.annuity,\annuity,,,,,,
,,,,,,,,
̖,comb.below.grave,,,,,&b``,,
̗,comb.below.accute,,,,,&b´´,,
̣,comb.below.dot1,,,,,&b.,,
̤,comb.below.dot2,,,,,&b..,,
⃨,comb.below.dot3,\threeunderdot,,,,&b...,,
̦,comb.below.comma,,,,,"&b,",,
⃬,comb.below.harpoon_right,,,,,,,
⃭,comb.below.harpoon_left,,,,,,,
⃮,comb.below.arrow_left,,,,,&b->l,&b<-,
⃯,comb.below.arrow_right,,,,,&b->r,&b->,
͍,comb.below.arrow_leftright,,,,,&b<->,,
,comb.below.arrow_up,,,,,&b->u,,
͔,comb.below.arrowhead_left,,,,,&b<,,
͕,comb.below.arrowhead_right,,,,,&b>,,
͖,comb.below.arrowhead_right_up,,,,,&b>^^,,
᷿,comb.below.arrowhead_right_down,,,,,&b>v,,
⃭,comb.below.harpoon_left,,,,,,,
⃬,comb.below.harpoon_right,,,,,,,
̟,comb.below.plus,,,,,&b+,,
̠,comb.below.minus,,,,,,,
͇,comb.below.equal,,,,,&b=,,
̥,comb.below.ring,,,,,&b°,,
̜,comb.below.ringhalf_left,,,,,&b°l,,
̹,comb.below.ringhalf_right,,,,,&b°r,,
̬,comb.below.caron,,,,,&bv,,
̭,comb.below.circumflex,,,,,&b^^,,
̮,comb.below.breve,,,,,&bu,,
̯,comb.below.breve_inv,,,,,&bn,,
̰,comb.below.tilde,,,,,&b~,,
̱,comb.below.macron,,,,,&b-,,
̲,comb.below.lineh,,,,,&b_,,
̳,comb.below.lineh_double,,,,,&b__,,
̩,comb.below.linev,,,,,&b',,
͈,comb.below.linev_double,,,,,&b'',,
̪,comb.below.bridge,,,,,,,
̺,comb.below.bridge_inv,,,,,,,
͙,comb.below.asteriks,,,,,&b*,,
̻,comb.below.square,,,,,,,
͉,comb.below.angle_left,,,,,,,
̧,comb.below.cedilla,,,,,,,
̨,comb.below.ogonek,,,,,,,
̡,comb.below.hook_palatalized,,,,,,,
̢,comb.below.hook_retroflex,,,,,,,
᷂,comb.below.snake,,,,,,,
̘,comb.below.tack_left,,,,,&b+l,,
̙,comb.below.tack_right,,,,,&b+r,,
̝,comb.below.tack_up,,,,,&b+u,,
̞,comb.below.tack_down,,,,,&b+d,,
͚,comb.below.infinity,,,,,&binf,,
̼,comb.below.segull,,,,,&bm,,
̫,comb.below.arch_double,,,,,&bw,,
͓,comb.below.times,,,,,&bx,,
᷊,comb.below.letter_r,,,,,&b-r,,
,,,,,,,,
͝,comb.doubleabove.breve,,,,,&&au,,
͞,comb.doubleabove.macron,,,,,&&a-,,
͡,comb.doubleabove.breve_inv,,,,,&&an,,
͜,comb.doublebelow.breve,,,,,&&bu,,
͟,comb.doublebelow.macron,,,,,&&b-,,
͠,comb.doublebelow.tilde,,,,,&&b~,,
͢,comb.doublebelow.arrow_right,,,,,&&b->,,
,,,,,,,,
̴,comb.over.tilde,,,,,&o~,,
̵,comb.over.lineh_short,,,,,&o-,,
̶,comb.over.lineh_long,,,,,&o_,,
⃓,comb.over.linev_short,,,,,&o',,
⃒,comb.over.linev_long,\vertoverlay,,,,&o|,,
⃦,comb.over.linev_long_double,,,,,&o||,,
̷,comb.over.slash_short,,,,,&o/s,,
̸,comb.over.slash,,,,,&o/,,
⃫,comb.over.slash_double,,,,,&o//,,
⃥,comb.over.backslash,,,,,&o\,,
⃪,comb.over.arrow_left,,,,,&o<-,,
⃘,comb.over.circle,,,,,&oo,,
⃙,comb.over.circle_clockwise,,,,,,,
⃚,comb.over.circle_anticlockwise,,,,,,,
,,,,,,,,
⃝,comb.enclose.circle,,,,,&ec,,
⃞,comb.enclose.square,,,,,&es,,
⃟,comb.enclose.diamond,,,,,&ed,,
⃠,comb.enclose.circle_backslash,,,,,&eb,,
⃢,comb.enclose.screen,,,,,&ey,,
⃣,comb.enclose.key,,,,,&ek,,
⃤,comb.enclose.triangle_up,,,,,&et,,
,KEEP THIS LINE EMPTY / INVALID,,,,,,,
,,,,,,,,
